  Assembling JuliaSetAsm.asm...
JuliaSetAsm.asm(1): error A2013: .MODEL must precede this directive
JuliaSetAsm.asm(2): error A2034: must be in segment block : julia
JuliaSetAsm.asm(13): error A2034: must be in segment block
JuliaSetAsm.asm(14): error A2034: must be in segment block
JuliaSetAsm.asm(15): error A2034: must be in segment block
JuliaSetAsm.asm(16): error A2034: must be in segment block
JuliaSetAsm.asm(17): error A2034: must be in segment block
JuliaSetAsm.asm(18): error A2034: must be in segment block
JuliaSetAsm.asm(19): error A2034: must be in segment block
JuliaSetAsm.asm(20): error A2034: must be in segment block
JuliaSetAsm.asm(21): error A2034: must be in segment block
JuliaSetAsm.asm(22): error A2034: must be in segment block
JuliaSetAsm.asm(23): error A2034: must be in segment block
JuliaSetAsm.asm(24): error A2034: must be in segment block
JuliaSetAsm.asm(25): error A2034: must be in segment block
JuliaSetAsm.asm(26): error A2034: must be in segment block
JuliaSetAsm.asm(27): error A2034: must be in segment block
JuliaSetAsm.asm(28): error A2034: must be in segment block
JuliaSetAsm.asm(29): error A2034: must be in segment block
JuliaSetAsm.asm(30): error A2034: must be in segment block
JuliaSetAsm.asm(31): error A2034: must be in segment block
JuliaSetAsm.asm(32): error A2034: must be in segment block
JuliaSetAsm.asm(33): error A2034: must be in segment block
JuliaSetAsm.asm(34): error A2034: must be in segment block
JuliaSetAsm.asm(35): error A2034: must be in segment block
JuliaSetAsm.asm(36): error A2034: must be in segment block
JuliaSetAsm.asm(37): error A2034: must be in segment block
JuliaSetAsm.asm(38): error A2034: must be in segment block
JuliaSetAsm.asm(39): error A2034: must be in segment block
JuliaSetAsm.asm(40): error A2034: must be in segment block
JuliaSetAsm.asm(41): error A2034: must be in segment block
JuliaSetAsm.asm(42): error A2034: must be in segment block
JuliaSetAsm.asm(43): error A2034: must be in segment block
JuliaSetAsm.asm(44): error A2034: must be in segment block
JuliaSetAsm.asm(45): error A2034: must be in segment block
JuliaSetAsm.asm(46): error A2034: must be in segment block
JuliaSetAsm.asm(47): error A2034: must be in segment block
JuliaSetAsm.asm(48): error A2034: must be in segment block
JuliaSetAsm.asm(49): error A2034: must be in segment block
JuliaSetAsm.asm(50): error A2034: must be in segment block
JuliaSetAsm.asm(51): error A2034: must be in segment block
JuliaSetAsm.asm(52): error A2034: must be in segment block
JuliaSetAsm.asm(53): error A2034: must be in segment block
JuliaSetAsm.asm(54): error A2034: must be in segment block
JuliaSetAsm.asm(55): error A2034: must be in segment block
JuliaSetAsm.asm(56): error A2034: must be in segment block
JuliaSetAsm.asm(57): error A2034: must be in segment block
JuliaSetAsm.asm(58): error A2034: must be in segment block
JuliaSetAsm.asm(59): error A2034: must be in segment block
JuliaSetAsm.asm(60): error A2034: must be in segment block
JuliaSetAsm.asm(61): error A2034: must be in segment block
JuliaSetAsm.asm(62): error A2034: must be in segment block
JuliaSetAsm.asm(63): error A2034: must be in segment block
JuliaSetAsm.asm(64): error A2034: must be in segment block
JuliaSetAsm.asm(65): error A2034: must be in segment block
JuliaSetAsm.asm(66): error A2034: must be in segment block
JuliaSetAsm.asm(67): error A2034: must be in segment block
JuliaSetAsm.asm(68): error A2034: must be in segment block
JuliaSetAsm.asm(69): error A2034: must be in segment block
JuliaSetAsm.asm(70): error A2034: must be in segment block
JuliaSetAsm.asm(72): error A2034: must be in segment block
JuliaSetAsm.asm(73): fatal error A1010: unmatched block nesting : julia
C:\Program Files\Microsoft Visual Studio\2022\Community\MSBuild\Microsoft\VC\v170\BuildCustomizations\masm.targets(70,5): error MSB3721: Polecenie ml.exe /c /nologo /Zi /Fo"Debug\JuliaSetAsm.obj" /W3 /errorReport:prompt  /TaJuliaSetAsm.asm zostało zakończone; kod błędu: 1.
